book_id,title,author,genre,price,stock,published_on,_ingestion_timestamp,_source_file
1,The White Tiger,Aravind Adiga,Fiction,360.19,75,2003-11-23,2026-08-12T13:29:33.486051,books.csv
2,The God Delusion,Richard Dawkins,Science,538.8,3,2001-04-27,2026-08-12T13:29:33.486051,books.csv
3,Swami and Friends,R.K. Narayan,Fiction,282.38,3,2007-05-04,2026-08-12T13:29:33.486051,books.csv
4,The Crusades,Thomas Asbridge,History,721.51,12,1989-07-02,2026-08-12T13:29:33.486051,books.csv
5,Wings of Fire,A.P.J. Abdul Kalam,Non-fiction,224.61,35,1978-01-17,2026-08-12T13:29:33.486051,books.csv
6,2 States,Chetan Bhagat,Fiction,211.71,8,1993-07-02,2026-08-12T13:29:33.486051,books.csv
7,The Last Mughal,William Dalrymple,History,636.95,12,1985-06-05,2026-08-12T13:29:33.486051,books.csv
8,Alexander the Great,Philip Freeman,History,461.26,2,1980-12-10,2026-08-12T13:29:33.486051,books.csv
9,Zero to One,Peter Thiel,Science,563.54,5,1989-11-17,2026-08-12T13:29:33.486051,books.csv
10,Malgudi Days,R.K. Narayan,Fiction,237.75,20,1965-04-13,2026-08-12T13:29:33.486051,books.csv
11,In the Woods,Tana French,Mystery,366.55,50,2018-07-24,2026-08-12T13:29:33.486051,books.csv
12,Untouchable,Mulk Raj Anand,Fiction,188.88,12,1984-12-25,2026-08-12T13:29:33.486051,books.csv
13,The Story of Civilisation Vol 1,Will Durant,History,839.5,5,1985-12-07,2026-08-12T13:29:33.486051,books.csv
14,Brave New World,Aldous Huxley,Fiction,319.03,50,2011-09-11,2026-08-12T13:29:33.486051,books.csv
15,The Rise and Fall of the Third Reich,William L. Shirer,History,842.04,35,2016-03-22,2026-08-12T13:29:33.486051,books.csv
16,The Alchemist,Paulo Coelho,Fiction,290.66,2,1998-09-02,2026-08-12T13:29:33.486051,books.csv
17,The Girl with the Dragon Tattoo,Stieg Larsson,Mystery,429.37,8,2018-10-01,2026-08-12T13:29:33.486051,books.csv
18,Angels and Demons,Dan Brown,Fiction,458.48,20,2008-12-26,2026-08-12T13:29:33.486051,books.csv
19,Train to Pakistan,Khushwant Singh,Fiction,262.98,8,1990-06-10,2026-08-12T13:29:33.486051,books.csv
20,The Diary of a Young Girl,Anne Frank,Non-fiction,325.96,2,1977-03-10,2026-08-12T13:29:33.486051,books.csv
21,Churchill,Roy Jenkins,History,679.39,12,1998-12-04,2026-08-12T13:29:33.486051,books.csv
22,Start with Why,Simon Sinek,Self-Help,361.11,12,2019-03-24,2026-08-12T13:29:33.486051,books.csv
23,The One Minute Manager,Kenneth Blanchard,Self-Help,280.62,12,2009-05-16,2026-08-12T13:29:33.486051,books.csv
24,The Oath of the Vayuputras,Amish Tripathi,Fiction,306.9,20,2004-03-31,2026-08-12T13:29:33.486051,books.csv
25,Permanent Record,Edward Snowden,Non-fiction,604.34,75,2021-07-21,2026-08-12T13:29:33.486051,books.csv
