review_id,customer_id,book_id,rating,review_text,created_at,_ingestion_timestamp,_source_file
1412,2568,5,2,Overrated. I did not enjoy the characters at all.,2024-07-08 10:42:10,2026-08-12T13:29:33.761206,reviews.csv
2964,2333,3,4,"Good book, though the ending felt a little rushed.",2024-12-01 09:13:58,2026-08-12T13:29:33.761206,reviews.csv
3657,1499,7,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,2022-03-05 11:40:17,2026-08-12T13:29:33.761206,reviews.csv
4996,1916,1,4,"Good book, though the ending felt a little rushed.",2021-05-28 17:06:29,2026-08-12T13:29:33.761206,reviews.csv
3919,992,31,4,"Good book, though the ending felt a little rushed.",2024-09-19 18:51:54,2026-08-12T13:29:33.761206,reviews.csv
4676,1107,1,3,Neither great nor terrible. Passes the time.,2022-01-09 20:14:50,2026-08-12T13:29:33.761206,reviews.csv
5289,165,6,4,Mostly great. The middle section drags a bit.,2024-10-30 17:43:35,2026-08-12T13:29:33.761206,reviews.csv
2642,2470,12,4,"Good book, though the ending felt a little rushed.",2021-06-19 16:36:09,2026-08-12T13:29:33.761206,reviews.csv
4608,1596,1,4,Well-written and engaging. A few plot holes but forgivable.,2023-02-26 15:14:08,2026-08-12T13:29:33.761206,reviews.csv
5475,1062,23,5,I finished this in two sittings. Absolutely riveting.,2024-02-04 18:57:53,2026-08-12T13:29:33.761206,reviews.csv
525,1940,1,5,The writing is exceptional and the story gripped me from page one.,2022-12-05 15:40:34,2026-08-12T13:29:33.761206,reviews.csv
3097,2002,2,4,Above average. Would recommend to fans of the genre.,2023-02-28 09:42:28,2026-08-12T13:29:33.761206,reviews.csv
2665,2095,5,5,Exceeded all my expectations. Truly extraordinary.,2023-07-07 23:04:37,2026-08-12T13:29:33.761206,reviews.csv
2009,2621,2,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,2022-07-22 10:54:15,2026-08-12T13:29:33.761206,reviews.csv
613,2663,1,3,It was okay. The hype around this book is a bit overstated.,2024-12-31 07:24:19,2026-08-12T13:29:33.761206,reviews.csv
2257,2485,2,4,Well-written and engaging. A few plot holes but forgivable.,2024-02-13 21:14:01,2026-08-12T13:29:33.761206,reviews.csv
5433,2330,4,3,,2023-10-19 16:02:38,2026-08-12T13:29:33.761206,reviews.csv
2533,1710,2,5,Perfect blend of story and insight. Will read again.,2023-01-30 18:52:11,2026-08-12T13:29:33.761206,reviews.csv
2981,442,2,4,Liked it. The first half is stronger than the second.,2024-12-09 16:39:29,2026-08-12T13:29:33.761206,reviews.csv
883,1988,3,3,Decent read. Not my favourite but not bad either.,2022-11-01 04:42:23,2026-08-12T13:29:33.761206,reviews.csv
5232,1042,3,3,Had potential but did not quite deliver on its promise.,2024-09-04 23:17:18,2026-08-12T13:29:33.761206,reviews.csv
3196,29,8,2,Struggled to get through it. The story meanders endlessly.,2024-04-29 22:35:10,2026-08-12T13:29:33.761206,reviews.csv
174,771,1,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,2022-09-25 08:13:59,2026-08-12T13:29:33.761206,reviews.csv
4435,1409,1,5,The writing is exceptional and the story gripped me from page one.,2024-02-13 06:13:00,2026-08-12T13:29:33.761206,reviews.csv
2067,2487,15,3,It was okay. The hype around this book is a bit overstated.,2020-10-12 20:48:02,2026-08-12T13:29:33.761206,reviews.csv
245,1694,5,3,Decent read. Not my favourite but not bad either.,2021-10-14 17:58:10,2026-08-12T13:29:33.761206,reviews.csv
3637,136,1,4,Above average. Would recommend to fans of the genre.,2022-10-22 07:10:08,2026-08-12T13:29:33.761206,reviews.csv
506,2034,1,3,Neither great nor terrible. Passes the time.,2020-04-13 06:52:21,2026-08-12T13:29:33.761206,reviews.csv
930,2094,2,4,A very good read overall. Some chapters were slow but worth it.,2023-06-23 09:09:36,2026-08-12T13:29:33.761206,reviews.csv
1827,2129,1,4,A very good read overall. Some chapters were slow but worth it.,2024-03-18 21:08:39,2026-08-12T13:29:33.761206,reviews.csv
807,1233,3,3,"Some interesting parts, but overall felt underwhelming.",2023-11-21 22:36:10,2026-08-12T13:29:33.761206,reviews.csv
3890,1513,1,4,Well-written and engaging. A few plot holes but forgivable.,2020-10-27 18:17:57,2026-08-12T13:29:33.761206,reviews.csv
89,2406,1,3,Had potential but did not quite deliver on its promise.,2022-09-08 11:35:22,2026-08-12T13:29:33.761206,reviews.csv
972,96,22,3,"Some interesting parts, but overall felt underwhelming.",2023-05-25 14:03:49,2026-08-12T13:29:33.761206,reviews.csv
1707,1973,2,4,Pleasant read. Nothing groundbreaking but definitely enjoyable.,2024-09-28 12:23:15,2026-08-12T13:29:33.761206,reviews.csv
287,1969,2,4,Well-written and engaging. A few plot holes but forgivable.,2024-01-01 16:44:38,2026-08-12T13:29:33.761206,reviews.csv
69,598,1,4,Liked it. The first half is stronger than the second.,2024-01-19 07:48:26,2026-08-12T13:29:33.761206,reviews.csv
3519,282,44,5,,2020-06-23 21:39:31,2026-08-12T13:29:33.761206,reviews.csv
1140,772,8,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,2022-10-19 17:06:11,2026-08-12T13:29:33.761206,reviews.csv
3680,1252,3,3,"Some interesting parts, but overall felt underwhelming.",2024-08-18 20:01:54,2026-08-12T13:29:33.761206,reviews.csv
1270,1460,1,2,Not for me. The writing style felt very dated.,2024-05-04 05:24:16,2026-08-12T13:29:33.761206,reviews.csv
4784,1029,1,5,The writing is exceptional and the story gripped me from page one.,2024-08-17 17:30:25,2026-08-12T13:29:33.761206,reviews.csv
2705,9,1,3,Decent read. Not my favourite but not bad either.,2021-06-10 19:49:11,2026-08-12T13:29:33.761206,reviews.csv
4554,1435,46,3,Decent read. Not my favourite but not bad either.,2023-04-04 17:15:47,2026-08-12T13:29:33.761206,reviews.csv
1450,52,2,4,,2022-03-12 06:29:06,2026-08-12T13:29:33.761206,reviews.csv
3577,1778,37,4,Above average. Would recommend to fans of the genre.,2024-11-29 13:53:00,2026-08-12T13:29:33.761206,reviews.csv
3951,943,114,3,,2022-07-02 07:32:53,2026-08-12T13:29:33.761206,reviews.csv
