order_id,customer_id,order_date,status,region_code
ORD000001,CUST00261,2024-07-12,CANCELLED,EAST
ORD000002,CUST00331,2024-02-25,SHIPPED,WEST
ORD000003,CUST00198,2024-04-25,SHIPPED,WEST
ORD000004,CUST00327,2025-08-31,PLACED,CENTRAL
ORD000005,CUST00456,2024-01-13,DELIVERED,EAST
ORD000006,CUST00068,2025-01-31,RETURNED,WEST
ORD000007,CUST00188,2025-07-13,SHIPPED,WEST
ORD000008,CUST00489,2026-02-27,PLACED,NORTH
ORD000009,CUST00301,2024-03-10,PLACED,EAST
ORD000010,CUST00111,2024-02-10,PLACED,WEST
ORD000011,CUST00260,2024-10-20,RETURNED,WEST
ORD000012,CUST00217,2025-12-19,CANCELLED,NORTH
ORD000013,CUST00328,2025-07-03,RETURNED,CENTRAL
ORD000014,CUST00079,2024-10-11,PLACED,EAST
ORD000015,CUST00041,2025-06-07,SHIPPED,SOUTH
ORD000016,CUST00275,2024-11-30,CANCELLED,CENTRAL
ORD000017,CUST00325,2026-02-20,PLACED,EAST
ORD000018,CUST00358,2025-03-23,SHIPPED,NORTH
ORD000019,CUST00126,2024-03-29,CANCELLED,NORTH
ORD000021,CUST00029,2024-11-12,SHIPPED,NORTH
ORD000022,CUST00007,2025-12-25,SHIPPED,NORTH
ORD000023,CUST00084,2025-05-23,DELIVERED,CENTRAL
ORD000024,CUST00265,2026-03-12,DELIVERED,SOUTH
ORD000025,CUST00191,2024-05-09,DELIVERED,NORTH
ORD000026,CUST00395,2026-07-10,PLACED,EAST
ORD000027,CUST00414,2025-03-15,DELIVERED,CENTRAL
ORD000028,CUST00033,2024-09-26,RETURNED,NORTH
ORD000029,CUST00255,2025-04-11,RETURNED,EAST
ORD000030,CUST00029,2025-05-26,RETURNED,SOUTH
ORD000031,CUST00189,2024-06-10,DELIVERED,NORTH
ORD000032,CUST00458,2025-08-10,PLACED,SOUTH
ORD000033,CUST00380,2025-06-05,PLACED,NORTH
ORD000034,CUST00440,2026-06-02,PLACED,SOUTH
ORD000035,CUST00024,2025-04-28,DELIVERED,WEST
ORD000036,CUST00472,2024-06-02,SHIPPED,NORTH
ORD000037,CUST00284,2026-04-02,CANCELLED,SOUTH
ORD000038,CUST00165,2024-09-11,CANCELLED,EAST
ORD000039,CUST00139,2026-04-25,PLACED,CENTRAL
ORD000041,CUST00345,2026-07-12,PLACED,SOUTH
ORD000042,CUST00115,2026-04-03,RETURNED,NORTH
ORD000043,CUST00489,2025-02-14,PLACED,WEST
ORD000044,CUST00444,2024-10-16,DELIVERED,EAST
ORD000045,CUST00045,2025-07-20,CANCELLED,NORTH
ORD000046,CUST00189,2024-07-24,DELIVERED,CENTRAL
ORD000047,CUST00402,2024-11-07,RETURNED,SOUTH
ORD000048,CUST00238,2025-01-12,RETURNED,WEST
ORD000049,CUST00396,2026-03-05,SHIPPED,CENTRAL
ORD000050,CUST00390,2026-03-26,SHIPPED,SOUTH
ORD000051,CUST00004,2025-02-23,PLACED,SOUTH
ORD000052,CUST00278,2024-12-20,PLACED,EAST
ORD000053,CUST00001,2026-02-16,CANCELLED,EAST
ORD000054,CUST00054,2024-07-29,RETURNED,SOUTH
ORD000055,CUST00215,2025-05-18,PLACED,SOUTH
ORD000056,CUST00365,2024-10-13,PLACED,NORTH
ORD000057,CUST00472,2024-08-25,RETURNED,WEST
ORD000058,CUST00359,2026-07-06,DELIVERED,WEST
ORD000059,CUST00499,2026-02-04,PLACED,CENTRAL
ORD000061,CUST00327,2026-04-19,CANCELLED,NORTH
ORD000062,CUST00304,2025-08-04,PLACED,WEST
ORD000063,CUST00340,2024-05-13,SHIPPED,EAST
ORD000064,CUST00134,2026-05-21,DELIVERED,WEST
ORD000065,CUST00359,2026-05-01,DELIVERED,EAST
ORD000066,CUST00232,2024-10-05,SHIPPED,NORTH
ORD000067,CUST00484,2024-07-26,SHIPPED,CENTRAL
ORD000068,CUST00056,2024-06-08,PLACED,SOUTH
ORD000069,CUST00231,2025-04-22,DELIVERED,WEST
ORD000070,CUST00062,2025-07-02,DELIVERED,SOUTH
ORD000071,CUST00232,2024-11-11,CANCELLED,EAST
ORD000072,CUST00437,2024-05-02,PLACED,SOUTH
ORD000073,CUST00414,2025-12-03,DELIVERED,CENTRAL
ORD000074,CUST00021,2024-08-08,DELIVERED,SOUTH
ORD000075,CUST00047,2025-12-29,SHIPPED,EAST
ORD000076,CUST00203,2025-06-09,PLACED,EAST
ORD000077,CUST00134,2026-04-19,SHIPPED,NORTH
