item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM000001,ORD000857,PROD00250,2,35570.57,46.29
ITEM000002,ORD000569,PROD00050,8,10652.82,95.59
ITEM000003,ORD000072,PROD00307,2,41161.97,59.64
ITEM000004,ORD000840,PROD00195,6,29708.28,66.02
ITEM000005,ORD000093,PROD00112,3,53246.97,90.33
ITEM000006,ORD000652,PROD00415,1,45448.96,66.09
ITEM000007,ORD000464,PROD00273,5,23459.96,57.79
ITEM000008,ORD000201,PROD00106,6,18054.15,79.43
ITEM000009,ORD000696,PROD00156,7,43095.69,91.51
ITEM000010,ORD000092,PROD00299,1,36728.3,51.04
ITEM000011,ORD000868,PROD00066,5,3838.39,90.11
ITEM000012,ORD000992,PROD00028,1,42230.91,82.08
ITEM000013,ORD000368,PROD00057,5,51954.21,23.52
ITEM000014,ORD000720,PROD00303,7,37550.34,71.18
ITEM000015,ORD000416,PROD00196,7,32752.62,66.25
ITEM000016,ORD000487,PROD00072,4,33369.75,84.33
ITEM000017,ORD000369,PROD00431,7,9340.61,99.75
ITEM000018,ORD000687,PROD00065,3,795.0,64.84
ITEM000019,ORD000148,PROD00370,8,39509.81,97.5
ITEM000020,ORD000140,PROD00044,3,38570.35,41.59
ITEM000021,ORD000467,PROD00458,10,55825.63,62.32
ITEM000022,ORD000466,PROD00261,7,33167.8,45.0
ITEM000023,ORD000364,PROD00116,3,25543.83,0.74
ITEM000024,ORD000511,PROD00434,4,42756.59,26.93
ITEM000025,ORD000949,PROD00280,10,22081.5,97.82
ITEM000026,ORD000582,PROD00248,6,6878.55,48.15
ITEM000027,ORD000708,PROD00041,3,43838.11,52.64
ITEM000028,ORD000880,PROD00385,5,27949.69,7.82
ITEM000029,ORD000912,PROD00313,2,14789.36,63.07
ITEM000030,ORD000680,PROD00492,2,41076.03,53.92
ITEM000031,ORD000594,PROD00160,10,3261.18,34.35
ITEM000032,ORD000798,PROD00006,8,27296.68,90.61
ITEM000033,ORD000588,PROD00376,-2,21239.58,97.78
ITEM000034,ORD000302,PROD00149,3,2216.04,92.29
ITEM000035,ORD000768,PROD00156,10,15700.54,62.93
ITEM000036,ORD000593,PROD00087,10,3192.03,99.04
ITEM000037,ORD000829,PROD00378,10,1735.16,48.48
ITEM000038,ORD000130,PROD00259,2,51101.57,27.78
ITEM000039,ORD000136,PROD00316,5,16585.51,25.7
ITEM000040,ORD000760,PROD00058,10,10559.37,59.18
ITEM000041,ORD000155,PROD00338,8,22249.03,17.54
ITEM000042,ORD000802,PROD00359,4,29146.62,79.94
ITEM000043,ORD000883,PROD00017,6,59045.89,96.73
ITEM000044,ORD000610,PROD00479,3,50273.09,75.28
ITEM000045,ORD000423,PROD00395,7,14353.05,44.02
ITEM000046,ORD000653,PROD00086,4,34707.67,84.18
ITEM000047,ORD000056,PROD00329,5,45353.49,11.6
ITEM000048,ORD000172,PROD00238,7,28626.29,47.63
ITEM000049,ORD000972,PROD00386,9,14096.31,68.35
ITEM000050,ORD000400,PROD00243,5,8794.47,87.03
ITEM000051,ORD000013,PROD00148,8,22982.05,31.57
ITEM000052,ORD000543,PROD00350,1,5932.12,53.13
ITEM000053,ORD000363,PROD00490,7,36668.09,65.21
ITEM000054,ORD000280,PROD00172,5,16098.56,9.83
ITEM000055,ORD000671,PROD00300,7,27720.4,67.53
ITEM000056,ORD000248,PROD00376,10,46252.79,52.0
ITEM000057,ORD000694,PROD00354,3,18864.86,1.06
ITEM000058,ORD000009,PROD00426,2,816.49,9.77
ITEM000059,ORD000107,PROD00351,8,21155.83,72.53
ITEM000060,ORD000258,PROD00099,1,1519.66,9.19
ITEM000061,ORD000962,PROD00305,4,57034.29,63.81
ITEM000062,ORD000726,PROD00491,2,5274.54,60.47
ITEM000063,ORD000385,PROD00337,10,48211.68,18.48
ITEM000064,ORD000114,PROD00357,3,15274.81,46.7
ITEM000065,ORD000959,PROD00039,8,55369.45,27.64
ITEM000066,ORD000438,PROD00355,-2,9801.77,7.4
ITEM000067,ORD000796,PROD00032,7,23376.57,99.6
ITEM000068,ORD000265,PROD00490,5,10757.98,6.94
ITEM000069,ORD000951,PROD00103,10,23618.8,64.55
ITEM000070,ORD000112,PROD00074,9,46145.57,21.84
ITEM000071,ORD000659,PROD00055,8,42952.48,10.33
ITEM000072,ORD000075,PROD00037,10,43679.95,77.72
ITEM000073,ORD000020,PROD00460,8,9016.37,64.03
ITEM000074,ORD000956,PROD00020,7,16059.55,70.01
ITEM000075,ORD000927,PROD00201,10,321.85,70.76
ITEM000076,ORD000790,PROD00252,8,26219.85,84.4
ITEM000077,ORD000800,PROD00416,2,32453.71,0.33
ITEM000078,ORD000978,PROD00353,8,7360.1,53.53
ITEM000079,ORD000368,PROD00171,5,24096.83,63.23
ITEM000080,ORD000982,PROD00332,2,21984.79,85.33
ITEM000081,ORD000349,PROD00042,8,45651.14,29.0
ITEM000082,ORD000208,PROD00091,9,2455.94,38.42
ITEM000083,ORD000196,PROD00154,7,53798.0,63.06
ITEM000084,ORD000368,PROD00250,2,53124.33,43.8
ITEM000085,ORD000195,PROD00072,1,11666.25,71.97
ITEM000086,ORD000608,PROD00123,8,23387.18,79.27
ITEM000087,ORD000659,PROD00158,8,32083.01,83.43
ITEM000088,ORD000461,PROD00495,1,2318.86,5.61
ITEM000089,ORD000807,PROD00370,1,24389.92,21.17
ITEM000090,ORD000670,PROD00342,9,27556.38,67.81
ITEM000091,ORD000896,PROD00275,3,44488.98,23.3
ITEM000092,ORD000074,PROD00019,3,29384.79,1.91
ITEM000093,ORD000929,PROD00471,10,2843.52,70.13
ITEM000094,ORD000134,PROD00008,3,37996.42,90.47
ITEM000095,ORD000841,PROD00407,2,27425.46,17.07
ITEM000096,ORD000606,PROD00033,2,6939.36,59.5
ITEM000097,ORD000631,PROD00113,2,48286.77,42.62
ITEM000098,ORD000831,PROD00428,7,19521.67,97.59
ITEM000099,ORD000590,PROD00280,-2,50201.98,79.31
ITEM000100,ORD000783,PROD00024,10,10489.51,6.32
ITEM000101,ORD000281,PROD00073,7,10166.25,36.99
ITEM000102,ORD000169,PROD00225,4,55547.96,4.07
ITEM000103,ORD000103,PROD00406,10,22630.25,15.78
ITEM000104,ORD000901,PROD00250,2,480.34,17.94
ITEM000105,ORD000092,PROD00362,10,53226.22,41.62
ITEM000106,ORD000827,PROD00406,8,41572.26,20.62
ITEM000107,ORD000656,PROD00139,9,27080.11,23.93
ITEM000108,ORD000179,PROD00313,1,35816.69,71.72
ITEM000109,ORD000627,PROD00487,2,37668.78,78.26
ITEM000110,ORD000357,PROD00215,1,33506.85,19.19
ITEM000111,ORD000543,PROD00049,10,21777.89,76.11
ITEM000112,ORD000553,PROD00260,4,27906.54,62.65
ITEM000113,ORD000214,PROD00142,1,11703.77,79.66
ITEM000114,ORD000702,PROD00433,8,29901.14,15.98
ITEM000115,ORD000945,PROD00023,1,38727.16,28.51
ITEM000116,ORD000446,PROD00129,6,37047.48,89.01
ITEM000117,ORD000465,PROD00023,2,44450.97,92.49
ITEM000118,ORD000181,PROD00081,1,29155.18,11.61
ITEM000119,ORD000917,PROD00121,8,35603.13,32.6
ITEM000120,ORD000204,PROD00383,6,13880.79,11.01
ITEM000121,ORD000234,PROD00051,4,44291.1,86.99
ITEM000122,ORD000385,PROD00457,4,4504.43,58.51
ITEM000123,ORD000056,PROD00456,7,8781.98,92.79
ITEM000124,ORD000466,PROD00092,7,22471.76,45.77
ITEM000125,ORD000199,PROD00324,6,58535.8,20.22
ITEM000126,ORD000131,PROD00017,10,3673.14,13.65
ITEM000127,ORD000873,PROD00239,8,25151.61,76.03
ITEM000128,ORD000226,PROD00454,5,36257.8,78.95
ITEM000129,ORD000654,PROD00488,10,54344.13,57.81
ITEM000130,ORD000567,PROD00438,4,5279.81,85.7
ITEM000131,ORD000501,PROD00442,4,35535.69,83.7
ITEM000132,ORD000286,PROD00008,-3,52368.65,24.78
ITEM000133,ORD000445,PROD00297,4,53520.18,59.18
ITEM000134,ORD000153,PROD00468,10,53905.28,41.78
ITEM000135,ORD000046,PROD00021,8,44035.23,50.42
ITEM000136,ORD000436,PROD00272,7,28808.23,79.8
ITEM000137,ORD000842,PROD00051,8,29767.57,8.31
ITEM000138,ORD000772,PROD00007,7,57001.04,13.27
ITEM000139,ORD000303,PROD00123,2,1054.22,66.9
ITEM000140,ORD000166,PROD00361,8,51489.53,74.73
ITEM000141,ORD000025,PROD00500,8,27879.26,13.86
ITEM000142,ORD000721,PROD00208,3,47412.54,37.04
ITEM000143,ORD000476,PROD00361,1,51636.92,7.07
ITEM000144,ORD000915,PROD00354,6,31902.13,29.66
ITEM000145,ORD000771,PROD00139,10,32591.86,79.45
ITEM000146,ORD000807,PROD00351,2,37265.27,33.57
ITEM000147,ORD000955,PROD00029,9,56724.8,67.47
ITEM000148,ORD000910,PROD00027,2,23039.0,46.54
ITEM000149,ORD000042,PROD00188,6,10598.52,55.88
ITEM000150,ORD000069,PROD00288,4,8390.51,33.49
ITEM000151,ORD000553,PROD00059,8,44269.07,75.23
ITEM000152,ORD000893,PROD00492,4,45215.09,76.09
ITEM000153,ORD000329,PROD00181,5,30263.6,42.29
ITEM000154,ORD000056,PROD00033,6,20779.07,48.62
ITEM000155,ORD000540,PROD00425,2,28262.81,53.19
ITEM000156,ORD000846,PROD00273,5,27173.51,36.81
ITEM000157,ORD000690,PROD00485,2,11382.38,88.4
ITEM000158,ORD000090,PROD00042,7,53886.96,28.84
ITEM000159,ORD000980,PROD00040,2,9969.5,11.2
ITEM000160,ORD000152,PROD00255,3,52512.09,52.07
ITEM000161,ORD000643,PROD00012,5,25050.55,68.24
ITEM000162,ORD000955,PROD00068,8,20867.34,44.39
