product_id,product_name,category,subcategory,cost_price
PROD00001,Math Book,Books,Math Book,26185.13
PROD00002,Jacket,Clothing,Jacket,18705.31
PROD00003,Pillow,Home,Pillow,20497.59
PROD00004,Sofa,Home,Sofa,29934.5
PROD00005,Chair,Home,Chair,16551.57
PROD00006,History Book,Books,History Book,12674.59
PROD00007,Jacket,Clothing,Jacket,4166.95
PROD00008,Jacket,Clothing,Jacket,15580.56
PROD00009,Science Book,Books,Science Book,29792.56
PROD00010,Headphones,Electronics,Headphones,27990.21
PROD00011,Table,Home,Table,33538.81
PROD00012,Monitor,Electronics,Monitor,33555.76
PROD00013,Chair,Home,Chair,18193.62
PROD00014,Jeans,Clothing,Jeans,17152.44
PROD00015,Science Book,Books,Science Book,11404.5
PROD00016,Jeans,Clothing,Jeans,3950.54
PROD00017,Mouse,Electronics,Mouse,38566.65
PROD00018,Monitor,Electronics,Monitor,16904.54
PROD00019,Sweater,Clothing,Sweater,18898.32
PROD00020,  JEANS  ,Clothing,Jeans,41584.12
PROD00021,Dress,Clothing,Dress,21939.9
PROD00022,History Book,Books,History Book,33850.51
PROD00023,Shoes,Clothing,Shoes,30568.71
PROD00024,Science Book,Books,Science Book,26747.16
PROD00025,pillow,Home,Pillow,45208.32
PROD00026,Jacket,Clothing,Jacket,33947.51
PROD00027,Programming Book,Books,Programming Book,38494.98
PROD00028,Math Book,Books,Math Book,26420.24
PROD00029,Jeans,Clothing,Jeans,40082.84
PROD00030,Jacket,Clothing,Jacket,2703.77
PROD00031,History Book,Books,History Book,27771.58
PROD00032,Monitor,Electronics,Monitor,42310.02
PROD00033,Headphones,Electronics,Headphones,4285.37
PROD00034,Jacket,Clothing,Jacket,22521.03
PROD00035,Shoes,Clothing,Shoes,4676.51
PROD00036,Shoes,Clothing,Shoes,44243.03
PROD00037,Keyboard,Electronics,Keyboard,2757.52
PROD00038,Table,Home,Table,19369.69
PROD00039,Headphones,Electronics,Headphones,11304.48
PROD00040,  CHAIR  ,Home,Chair,41974.9
PROD00041,Table,Home,Table,6966.22
PROD00042,Pillow,Home,Pillow,34833.99
PROD00043,Dress,Clothing,Dress,23508.6
PROD00044,Laptop,Electronics,Laptop,1048.29
PROD00045,Jeans,Clothing,Jeans,27485.33
PROD00046,Novel,Books,Novel,38831.01
PROD00047,Jacket,Clothing,Jacket,6180.23
PROD00048,Shoes,Clothing,Shoes,31983.69
PROD00049,Novel,Books,Novel,5631.81
PROD00050,math book,Books,Math Book,26849.08
PROD00051,Dress,Clothing,Dress,7264.48
PROD00052,Novel,Books,Novel,30779.0
PROD00053,Sweater,Clothing,Sweater,20886.72
PROD00054,Mouse,Electronics,Mouse,48735.26
PROD00055,Mouse,Electronics,Mouse,27249.69
PROD00056,Keyboard,Electronics,Keyboard,43679.24
PROD00057,Monitor,Electronics,Monitor,19405.38
PROD00058,Lamp,Home,Lamp,37391.1
PROD00059,Chair,Home,Chair,17305.64
PROD00060,  MOUSE  ,Electronics,Mouse,36785.83
PROD00061,Table,Home,Table,2312.35
PROD00062,Sofa,Home,Sofa,8836.95
PROD00063,Biography,Books,Biography,23978.71
PROD00064,Jeans,Clothing,Jeans,3248.72
PROD00065,Novel,Books,Novel,14742.78
PROD00066,Smartphone,Electronics,Smartphone,44300.94
PROD00067,Lamp,Home,Lamp,25817.64
PROD00068,History Book,Books,History Book,1927.38
PROD00069,Jacket,Clothing,Jacket,17913.01
PROD00070,Monitor,Electronics,Monitor,16663.04
PROD00071,Headphones,Electronics,Headphones,21903.87
PROD00072,Biography,Books,Biography,22042.86
PROD00073,History Book,Books,History Book,48688.81
PROD00074,Biography,Books,Biography,24926.42
PROD00075,chair,Home,Chair,36381.36
PROD00076,Keyboard,Electronics,Keyboard,30162.42
PROD00077,Sweater,Clothing,Sweater,14758.94
PROD00078,Laptop,Electronics,Laptop,16463.2
PROD00079,Lamp,Home,Lamp,22351.2
PROD00080,  SCIENCE BOOK  ,Books,Science Book,34519.26
PROD00081,Pillow,Home,Pillow,2213.52
PROD00082,Curtain,Home,Curtain,49907.71
PROD00083,Sofa,Home,Sofa,49003.36
PROD00084,Laptop,Electronics,Laptop,33592.08
PROD00085,History Book,Books,History Book,25702.99
PROD00086,T Shirt,Clothing,T Shirt,7224.7
PROD00087,Novel,Books,Novel,6398.88
PROD00088,Dress,Clothing,Dress,18379.79
PROD00089,Math Book,Books,Math Book,1716.03
PROD00090,Dress,Clothing,Dress,22551.14
PROD00091,Lamp,Home,Lamp,22252.57
PROD00092,Mouse,Electronics,Mouse,6970.99
PROD00093,Pillow,Home,Pillow,15787.83
PROD00094,Table,Home,Table,48029.95
PROD00095,Monitor,Electronics,Monitor,9383.8
PROD00096,Math Book,Books,Math Book,5976.27
PROD00097,Sofa,Home,Sofa,22369.03
PROD00098,Sofa,Home,Sofa,45832.3
PROD00099,Science Book,Books,Science Book,6219.61
PROD00100,  KEYBOARD  ,Electronics,Keyboard,8715.55
PROD00101,Novel,Books,Novel,40544.61
PROD00102,Sofa,Home,Sofa,17436.52
PROD00103,Mouse,Electronics,Mouse,27154.35
PROD00104,Table,Home,Table,35619.27
PROD00105,Jacket,Clothing,Jacket,25486.91
PROD00106,Smartphone,Electronics,Smartphone,39624.08
PROD00107,Shoes,Clothing,Shoes,1411.57
PROD00108,Pillow,Home,Pillow,40202.72
PROD00109,Sweater,Clothing,Sweater,44223.9
PROD00110,Headphones,Electronics,Headphones,19968.18
PROD00111,Math Book,Books,Math Book,20598.68
PROD00112,Math Book,Books,Math Book,3780.16
PROD00113,Sofa,Home,Sofa,3800.83
PROD00114,Biography,Books,Biography,25916.26
PROD00115,Sweater,Clothing,Sweater,32025.72
PROD00116,Jeans,Clothing,Jeans,21687.65
PROD00117,Laptop,Electronics,Laptop,25953.3
PROD00118,Table,Home,Table,8182.15
PROD00119,Jacket,Clothing,Jacket,47379.41
PROD00120,  CHAIR  ,Home,Chair,12605.2
PROD00121,Table,Home,Table,31288.62
PROD00122,Mouse,Electronics,Mouse,32085.27
PROD00123,Jeans,Clothing,Jeans,32970.77
PROD00124,Curtain,Home,Curtain,2155.6
PROD00125,laptop,Electronics,Laptop,2368.54
PROD00126,Sofa,Home,Sofa,10619.34
PROD00127,Math Book,Books,Math Book,31985.66
PROD00128,Biography,Books,Biography,27324.32
PROD00129,Pillow,Home,Pillow,12319.41
PROD00130,History Book,Books,History Book,22731.85
PROD00131,Smartphone,Electronics,Smartphone,22036.31
PROD00132,Programming Book,Books,Programming Book,10280.75
PROD00133,Jacket,Clothing,Jacket,43088.11
PROD00134,Sofa,Home,Sofa,49402.37
PROD00135,Pillow,Home,Pillow,6625.23
PROD00136,Curtain,Home,Curtain,28126.4
